Generation number,Best fitness,Best genome,Worst fitness,Worst genome,Mean,Average,Standard deviation
0,98.69358825683594,"Genome{fitness:98.69358825683594,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.2226858423032103},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.16331583677206124},IntegerGene{label:hidden_3_units,min:10,max:200,val:98},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.019772011054487962},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",107.93426513671875,"Genome{fitness:107.93426513671875,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:11},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.1900792630884846},IntegerGene{label:hidden_2_units,min:10,max:200,val:115},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.19275223879734907},IntegerGene{label:hidden_3_units,min:10,max:200,val:23},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.07692399662019868},IntegerGene{label:batch_size,min:100,max:400,val:347},]}",101.66583938598633,101.66583938598633,2.4829369037974076
1,98.69358825683594,"Genome{fitness:98.69358825683594,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.2226858423032103},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.16331583677206124},IntegerGene{label:hidden_3_units,min:10,max:200,val:98},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.019772011054487962},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",101.60063934326172,"Genome{fitness:101.60063934326172,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:77},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.43447850386696635},IntegerGene{label:hidden_2_units,min:10,max:200,val:78},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.2641899967685043},IntegerGene{label:hidden_3_units,min:10,max:200,val:173},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.4515637239035102},IntegerGene{label:batch_size,min:100,max:400,val:128},]}",99.94091262817383,99.94091262817383,0.8549562371853663
2,98.69358825683594,"Genome{fitness:98.69358825683594,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.2226858423032103},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.16331583677206124},IntegerGene{label:hidden_3_units,min:10,max:200,val:98},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.019772011054487962},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",106.04335021972656,"Genome{fitness:106.04335021972656,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:55},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.3498294182744639},IntegerGene{label:hidden_2_units,min:10,max:200,val:81},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.20866743828905254},IntegerGene{label:hidden_3_units,min:10,max:200,val:10},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.2380960851807971},IntegerGene{label:batch_size,min:100,max:400,val:277},]}",99.90773277282715,99.90773277282715,1.4993960020419275
3,98.58869171142578,"Genome{fitness:98.58869171142578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:148},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.1592986595466503},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.16331583677206124},IntegerGene{label:hidden_3_units,min:10,max:200,val:167},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.3476416137582282},IntegerGene{label:batch_size,min:100,max:400,val:208},]}",100.35530853271484,"Genome{fitness:100.35530853271484,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:150},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.10139875807695005},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.28873905038498343},IntegerGene{label:hidden_3_units,min:10,max:200,val:98},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.2907067199935974},IntegerGene{label:batch_size,min:100,max:400,val:208},]}",99.30136337280274,99.30136337280274,0.49627480318282924
4,98.58869171142578,"Genome{fitness:98.58869171142578,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:148},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.1592986595466503},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.16331583677206124},IntegerGene{label:hidden_3_units,min:10,max:200,val:167},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.3476416137582282},IntegerGene{label:batch_size,min:100,max:400,val:208},]}",100.86229705810547,"Genome{fitness:100.86229705810547,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.2226858423032103},IntegerGene{label:hidden_2_units,min:10,max:200,val:91},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.37016809422956387},IntegerGene{label:hidden_3_units,min:10,max:200,val:141},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.019772011054487962},IntegerGene{label:batch_size,min:100,max:400,val:242},]}",99.19057540893554,99.19057540893554,0.5285732175995688
5,98.08438873291016,"Genome{fitness:98.08438873291016,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:190},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.057282548288995934},IntegerGene{label:hidden_2_units,min:10,max:200,val:117},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.11196018911554541},IntegerGene{label:hidden_3_units,min:10,max:200,val:98},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.01},IntegerGene{label:batch_size,min:100,max:400,val:294},]}",100.26712799072266,"Genome{fitness:100.26712799072266,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:81},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.10139875807695005},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.28873905038498343},IntegerGene{label:hidden_3_units,min:10,max:200,val:75},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.16520250975987075},IntegerGene{label:batch_size,min:100,max:400,val:331},]}",99.09039268493652,99.09039268493652,0.5088132557331204
6,98.08438873291016,"Genome{fitness:98.08438873291016,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:190},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.057282548288995934},IntegerGene{label:hidden_2_units,min:10,max:200,val:117},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.11196018911554541},IntegerGene{label:hidden_3_units,min:10,max:200,val:98},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.01},IntegerGene{label:batch_size,min:100,max:400,val:294},]}",99.61446380615234,"Genome{fitness:99.61446380615234,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.2226858423032103},IntegerGene{label:hidden_2_units,min:10,max:200,val:96},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.28873905038498343},IntegerGene{label:hidden_3_units,min:10,max:200,val:182},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.17599578943579752},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",98.91016120910645,98.91016120910645,0.3798947120995955
7,98.01020050048828,"Genome{fitness:98.01020050048828,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.16960977753990392},IntegerGene{label:hidden_2_units,min:10,max:200,val:150},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.18774997963150364},IntegerGene{label:hidden_3_units,min:10,max:200,val:142},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.09154041514186304},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",100.3266372680664,"Genome{fitness:100.3266372680664,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:91},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.23657096297957414},IntegerGene{label:hidden_2_units,min:10,max:200,val:124},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.2731324788494126},IntegerGene{label:hidden_3_units,min:10,max:200,val:167},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.03360588704019206},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",98.8568775177002,98.8568775177002,0.49319977325488634
8,98.01020050048828,"Genome{fitness:98.01020050048828,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.16960977753990392},IntegerGene{label:hidden_2_units,min:10,max:200,val:150},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.18774997963150364},IntegerGene{label:hidden_3_units,min:10,max:200,val:142},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.09154041514186304},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",99.08708953857422,"Genome{fitness:99.08708953857422,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:190},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.057282548288995934},IntegerGene{label:hidden_2_units,min:10,max:200,val:117},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.11196018911554541},IntegerGene{label:hidden_3_units,min:10,max:200,val:62},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.019772011054487962},IntegerGene{label:batch_size,min:100,max:400,val:239},]}",98.60949592590332,98.60949592590332,0.31813791209813835
9,98.01020050048828,"Genome{fitness:98.01020050048828,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:106},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.16960977753990392},IntegerGene{label:hidden_2_units,min:10,max:200,val:150},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.18774997963150364},IntegerGene{label:hidden_3_units,min:10,max:200,val:142},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.09154041514186304},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",101.08020782470703,"Genome{fitness:101.08020782470703,genes:[IntegerGene{label:hidden_1_units,min:10,max:200,val:112},FloatGene{label:hidden_1_dropout_rate,min:0.01,max:0.5,val:0.16960977753990392},IntegerGene{label:hidden_2_units,min:10,max:200,val:150},FloatGene{label:hidden_2_dropout_rate,min:0.01,max:0.5,val:0.11884475533988342},IntegerGene{label:hidden_3_units,min:10,max:200,val:142},FloatGene{label:hidden_3_dropout_rate,min:0.01,max:0.5,val:0.01},IntegerGene{label:batch_size,min:100,max:400,val:228},]}",98.83398628234863,98.83398628234863,0.7668809159280033
